prompt,completion
tweet consumer service that the quantity is wrong,47
what happened yesterday on samurai jack,22
olly what's the current weather,13
check my calendar for today,32
is it raining in toledo right now,13
where is justin beiber from,49
most rated delivery options for chinese food,3
how humid is the environment today,13
resume lord of the rings,20
fetch me the phone number of alexander,17
please subscribe me to updates about us breaking news,22
order me a cheese burger from tommy's burgers,16
turn on the coffee pot,56
what's the current temperature outside,13
can you change the light colors into dark in the house,1
what's the news about in africa,22
scan my inbox for any new emails from robert,44
please play the song games by disturbed,45
add alarm,48
tune in some radio,36
price of train ticket from delhi to mumbai,42
play my playlist,45
what's new on textile design,22
tweet a complaint about more electricity bill this month,47
does pizza hut have my order ready,3
set alarm of whole week morning ten am in april month,48
load my playlist titled country favorites and play it,58
google michael jackson,49
what the time difference from here to ottawa,38
note current song as awesome please,43
what is going on today,22
what is the meeting schedule,32
what is the temperature outside,13
continue where i left off on my podcast,58
what happened to my pizza order it has been an hour since i ordered,3
email james about the softball game james we need to get some refreshments before heading over,33
clear my calendar for the rest of the day,30
do you know actor surya,49
clear all concert schedule,30
what time does the meeting start,32
please could you tell me if george's geek restaurant can i order takeaway from there,3
can you give the date today,0
where am i supposed to be wednesday from two to eleven,32
list the celebrities who have been in my country in the last five years,49
list shops in douglasville ga,19
get me osteen on sirius,36
please send my family an email that says the following,33
what is so clean news for the last six hours,22
state the weather in our city,13
delete my six am alarm,52
please delete my lunch date from the march twenty third schedule,30
please play the last two episodes of the gilmore guys,58
give me the reminders,32
please tweet at bestbuy that i am not happy with their service today,47
review set alarms,23
is my order ready,3
what is the forecast in my area today,13
make sure my shuffles are always repeat and always shuffled,28
how are you feeling lately,12
where is san francisco,49
order the usual from turiellos pizza,16
find the sum of thirteen and fourteen,39
play the new record of malika,45
how old is dolly parton,49
get the roomba to clean up,34
remove list from the database,53
please open my music application and play games by disturbed,45
play stuff you should know,58
who sings this,57
check my twitter account,27
i need to add an event on may fifth two thousand and seventeen location goshen for danny's graduation party,50
how old is jim carrey,49
get me fresh news,22
what is a workhouse,26
what is the most current local news,22
what's the date tomorrow,0
check if there any new email,44
let me know when a new email arrives from rachel,44
open pandora app,36
play all rock songs,45
check my calendar for me,32
what is uber,26
i would like my robot to take my dog outside to go the bathroom,12
anything new,44
show me my lists,59
tell me about donald trumps early life,49
list albums of rihana,49
please organize a meeting with my company workers,50
what is two times two,39
i want to listen to the beatles greatest hits,45
can you please update me on my lists,59
olly can you raise the lights for me please,18
thirteen minutes from now remind me to drive to the park,50
please lights less brighter,31
when was angelina jolie born,49
display recent email from john olly,44
can i know what i on the list,59
post to twitter trump is such an ass,47
play twenty questions,12
should i bring snow shoes,13
i would like to listen to this mornings mike and mike podcast,58
hey when is the next local from mumbai to pune,42
how cold is the weather right now,13
take joe of the list,53
change the light color to blue,1
tweet i am doing well on twitter,47
mark sarahs birthday party on the twelveth,50
send email to rohan to meet me today at evening,33
are there any accidents on harvard,11
show the list,59
can you tell me about the middle east,49
is it snowing now,13
send email to mom starting with the subject vacation,33
let's play canasta,51
tell me what's on my holiday list,59
send mail to someone,33
are there any accidents today,11
add event with these people,50
play my favorite radio station,36
what do i have today,32
play the celine dion song from the titanic movie,45
repeat daily,50
respond to graham and let him know that i will be free tomorrow,33
adjust media volume up,14
remember that i do not like this music,7
turn off living room lights,40
please provide current time in india,0
where is artic ocean,49
how often do you complete updates,12
play superstitions by rl stine,20
traffic congestion issues,11
what can you tell me about the dance on friday,32
i want to clean my bedroom put the vacuum on and go to my room,34
groceries list,59
open uber app and book me a car for pick up at the airport,54
weather for tomorrow,13
make sure i have nothing to do on friday,32
alexa what is google,26
do you like the president,12
is it hot and muggy or warm and humid in the bayou today,13
start vacuum,34
did i get an email from mike,44
play hot ninety seven,36
do i have an alarm set for morning flight,23
remove my car payment on the fifteenth from my calendar,30
please post happy birthday u. s. a. on facebook,47
show me the posts of my friends in the last hour,27
new email,44
tune me song in radio,36
hi there congratulate me i got a promoted in my job at office,12
reply to robert's email of today morning,33
please turn off only right side light,40
could you provide my upcoming events,32
go back,58
hi please remind the next meeting with my boss it will be at eleven am next monday,50
where was the last aerosmith concert,49
what is the story of the movie titanic,12
today is holiday,32
which country would end up converting the most money out of a thousand dollars us,49
put off the living room light,40
how long until we get to chicago,42
turn the lights blue,1
set a two day notification before maria's birthday please,50
what's a good place to eat around midtown new york,19
fire in columbus ohio,22
ask my friend hows the climate there,13
what are the next three alarms set to go off,23
what's today,0
read mail,44
please let me know about my anniversary,50
olly what music do i usually like after work,57
give me notifications when i get any news from the starbucks i applied to,44
please tell me what is the formula for the perimeter of a rectangle,49
siri find train tickets to nc,42
write email to family member and read it back,33
play this song,45
is it noon in paris,0
remind me about meeting next week,50
clear my nine am alarms,52
please play all the songs in high volume and make adjustments to pop music mode,45
can you check for any new emails,44
how to cook rice,9
show me the reminders,32
will gloves come in handy on tuesday,13
please set alarm at five p. m.,48
play some calming music for me,45
please give me the traffic report for this afternoon,11
is adele going to go on tour,49
get with new one,12
it is too loud decrease the volume,35
can you give me a flash briefing,22
are there any shopping centers nearby,19
guess what happened today,12
jane doe emails,44
please tweet for me about the bad service rended by the taj restaurant,47
remove alarm of seven thirty am on monday,52
play my country music playlist,45
play eight hundred and eighty nine,36
where is the statue of liberty located,49
should i take an umbrella with me tonight,13
could you create a new list for me,21
what's interesting around here,6
send mail to sanantha about body exercise schedule,33
find stock price for name,4
give me the most recent stuff you have angelina jolie,12
tell me interesting events around,6
find me the name of the artist of this music,57
what are all the lists i have available,59
what are the news headlines,22
open email to send to dad,33
todays date,0
its peaceful,43
set an alarm for five hundred and thirty,48
start playing jazz music,45
please add shopping at mall on twenty six march at twelve p. m.,50
olly do i have anything outstanding on any lists,59
please take me to wall street journal,22
book me a train ticket for this afternoon to chicago,2
give the latest updates on narendra modi,22
let me know what maria has put on her facebook over the weekend,27
i want to hear program one on lastfm,36
i need to know all new news on the houston texans draft,22
this song is too length,7
erase item please from my list,53
reply to the email,33
i don't want to carry an umbrella will we have rain today,13
alexa lower lights down,31
add a reminder on thursdays at eleven and thirty am and name it dance classes,50
delete the list created yesterday,53
is there a birthday party today,32
am i free this saturday,32
save my opinion about the current song playing,43
please play this game,51
hello can you read the information for this date,32
give me a list of lists,59
can you find the preacher joe show on gospel radio,36
recent emails,44
can you please check my gmail for new messages,44
ok google what is the weather where i am at today,13
do they have take-out,3
using remote,20
play billy joel,45
send an email to jesse,33
make light color red,1
open my reminders,32
what exchange rate does the us dollar and the euro have,10
tomorrow my mother birthday,50
what time will a movie be shown tomorrow,55
clear all events in calendar for march,30
what's the alarm situation for tomorrow,23
go to cnncom,22
how is the weather today,13
start the satellite music feed,45
play my yoga playlist,45
tell me how to stretch before running,12
please delete this list,53
what days are my alarms set for,23
erase that item from my list,53
send an email to with the subject as test and no content,33
what is the netflix stock price,4
can you play my favorite audio book of king kong,20
is there any email with subject,44
eight am manila time is what in eastern time,38
what's needed to make pizza,9
is there a chance of snow wednesday,13
please find a email from my friend tiffany,44
it is not going to rain is it,13
i want to sleep,40
mark thirteen october of this year as my birthday,50
tell me about the most recent road construction on route seventy,22
give me updates on this news,22
play random radio station,36
what is derek's phone number,17
i would love a less bright up room,31
who is jennifer aniston married to,49
remove playlist,53
book me a train ride,2
initiate cleaning process,34
turn off the lights in the living room,40
turn off the bathroom light,40
play me some from the,45
pull up peking garden online,16
is it going to snow this weekend here,13
what song do i play most,57
tune into the nearest english f. m. station,36
remove stand-up on friday at ten am,30
what events near hear are happening this week,6
add this one also,21
tell me a random trivia,12
google the object and see,26
what are today's highlights from facebook,27
who sent me email today and what was the subject,44
select the item,21
where is the closest mexican restaurant,42
games,51
is it currently raining in new york city,13
olly set a reminder for my meeting today,50
give me the details on elton john,57
let me know the alarm time,23
olly please read me today's news,22
activate the radio please,36
put on be warned by tech nine,45
please turn off right side of light,40
turn on socket,24
increase the volume to fifty,14
how tall is mount everest,49
new email from mom,44
send raj a mail for job,33
please provide the detailed information about the next event,32
should i carry an umbrella with me today,13
hey put carrots on that,21
what is happening in the world,22
reply back to bob smith,33
i need a train ticket,2
find me a train ticket for the next trip to washington d. c.,42
compose email to a new address,33
remind me about my meeting,50
list albums of rihana,49
set the alarm for nine am on weekends,48
where is norman reedus from,49
is it male or female,12
remind me about my business meeting at three and forty five p. m.,50
does ming ten do take out,3
is there any possibility of rain this week,13
play the latest games,51
reviews of the restaurants,3
please delete bananas from my shopping list,53
what is the date next saturday,0
play me a radio drama podcast,58
make a new list for school supplies,21
shuffle this playlist,28
switch on robot vacuum cleaner,34
when can you use word set,26
what time are my alarms set for,23
send a request to martin,33
olly what is the fastest route to town,11
use that email address as a contact,15
can you tell me the time at san francisco,0
speak louder,14
what's the news on b. b. c. news,22
is my wake up alarm set a six am,23
i want to and my email address,15
please arrange to wake me up at three am alarm,48
announce a comment in facebook,47
what is the date and month today,0
shuffle and play the playlist,45
it's too quiet in here,45
complaint,47
cheapest flights to kansas city from dallas,2
is my alarm set for seven am,48
access my fitbit app and record this activity yoga fifty minutes high intensity,12
remove apple from list,53
dismiss my next event,30
any good movies,55
buy an acela train ticket on thursday,2
update outlook mailbox,44
play the kansas city hip hop station,36
book an uber for one hour from now,54
where is nayagara falls located,49
could you speak a little more softly,14
tell me the time,0
what's next on my list,59
please remind me at clock,50
what date is my anniversary,32
who is the artist of the current song playing,57
play all songs by metallica on shuffle,45
can you add a new email to my contacts,15
define and describe an ultraviolet ray,26
map out a route from here to abita brew pub,42
wake me up at six am,48
what day of the week is it,0
please clear my calendar for tomorrow,30
please block off friday at eight am on my calendar,50
what are you,12
is it hot outside right now i'm hawaii,13
how many reminders do i have made,32
i went to the park,12
wake up,12
will it be cold,13
turn on all upstairs lights,41
could you tell me funny things,25
search the region,49
did dan send me any emails,44
did i get an email about a job offer,44
play happy playlist next,45
tell me the exact count of followers on my twitter handle as of today,27
may i know what is trending in twitter,27
delete everything on my calendar for the next two weeks,30
what is the news in my area,22
lessen the light glow,31
what awards did erica grebe win last night,49
what's the weather doing in grand rapids mi now,13
by remote sensor,40
play melody songs,45
is it a yes or a no that tomorrows temperature will be hot,13
list stock price for this company stock,4
be my clock,0
can you tell me what solution can we do to solve the climate change,12
food order from grubhub,16
send a text to alice,17
remove the heading of the list,53
what time will my alarm wake me up,23
i want to order some food,16
what trains are available,42
what song am i listening to,57
darken the room a bit,31
is it going to snow tonight,13
dance with me,12
please change lights color to red,1
new emails,44
what should i see this weekend,6
set a remainder for twelve p. m. for lunch,50
hey olly turn up the lights a little,18
i need to add this new contact for sam smith ssmith at yahoo dot com,15
repeat this song three times,28
mute for twenty minutes,46
find me the oldies channel,36
include this event in my calendar,50
what is the highest mountain in the us,49
bring me a train ticket,2
olly i need next week's lunch put on the calendar,50
delete event calendar,30
olly do i have any openings on my schedule for tomorrow,32
repeat the current song,28
is it going to be hot in two hours,13
play radio please,36
keep track of the standing rock protest,22
please give me update of football,22
turn on sportsnet for hockey,36
what is the time in perth,0
show me the weather forecast for the next three three days,13
is there anything i need to know before i activate the robot vacuum cleaner,34
where can i go shopping in this area,19
olly i want blue lighting,1
provide me with the list of great restaurants in a,19
how long to get to work,11
add event on august twenty one at nine am,50
wake me at seven am,48
show me my contacts,17
how many things do i have planned tonight,32
should i wear a short sleeve,13
compare the stock prices for nintendo and sony and tell me which ones are better,4
can you upload my latest selfie in my instagram,47
i want volume on my speakers,14
is outside raining,13
how many eggs should i put in my cake mixture,9
what is a sloth,26
i want to listen to george strait,45
how do i make peanut butter cookies,9
tell me today's sports news headlines,22
locate a recipe for thai fried rice,9
current price of coca-cola stock,4
dim the lights please,31
tell me the time in g. m. t. plus five,38
is snow in the forecast,13
create an empty calendar event for next saturday at ten am,50
describe the empire state building,26
what is happening in the election,22
give me the opening stock price of acer computers,4
reserve a train ticket for me today to des moines,2
this computer is very hard to use,12
please book train ticket to new york,2
should i wear a coat outside,13
i need a train ticket to rome book ticket,2
i like this song what is it can you please repeat it once,43
start cleaning,34
what ever happened to john gresham,12
fill my calendar with a meeting with garvin and trilly for december fifth at five hundred and thirty p. m.,50
turn on bjork,45
shutoff light in the kitchen,40
add work out to the calendar for monday through friday from five to six hundred am,50
how about a game of snakes and ladders,51
open news,22
get me the news about today's meeting,22
olly make coffee at six am,56
set reminder for three o'clock,50
what is the name of a lake that has dried up over the years,49
tell me this week's weather,13
read me my alarms,23
i am unable to hear you can you speak little loud,14
riddles,12
what's the definition of indignation,26
let me know about the new emails,44
set alarm for six am tomorrow,48
how would you describe a tennis ball,26
i would like to place a call to amazon customer service,47
send email to tim,33
continue pride and prejudice,20
add dentist appointment for friday at five,50
check latest news,22
it is dark,41
add to calendar an everyday reminder for laundry,50
olly please speak up,14
march one is susan's birthday right,32
what will the weather be today,13
how many oceans are there in the world,49
please provide world hot news,22
how many kilometers are in a mile,49
please add concert at summerfest to calendar,50
remove ashley from the wedding invite list,53
how long is the walk from nyack to valley cottage,42
notify me one hour before my meeting,50
olly book me a taxi to leith in half an hour,54
what dance move is the most attractive,49
shopping,12
will the weather be bad on sunday,13
tweet at insightbb the cable is out again in the highland terrace neighborhood,47
what is the leading story at this time on fox news,22
how much does a bowling ball cost,49
up,14
put wash the car to my to do list,21
send email to daughter,33
is it the twenty ninth already,0
please turn up the volume,14
let's see what's around,19
i need all the local events for this area that are being held this weekend,6
i really ska music,43
read me a news article about jeff sessions,22
please remind me to take off coffee off stove in ten minutes,50
how much does one euro cost in rupees,10
describe joe for me please,26
what is the time in boston,0
will you remind me to go to hockey class every sunday afternoon,50
in this matter in currency,12
time and date of today,0
could you please lower your volume,35
check someone's recent emails,44
play taylor swift,45
send help only to jane,33
recipe for meal,9
where is a good place to eat cheap pakistani food,19
volume control,46
olly place an order for a combo platter from china buffet please,16
reply to all emails received from ten p. m. to nine am,33
play for me the beatles song from audiobook,20
read me the email from mom including the subject,44
please find today's forecast,13
can you set my alarm,48
please help serve me coffee with a no sugar,56
fun things to do today,6
what is justin bieber's birthday,49
i hate this song please remember that so that i don't hear this song ever again,7
where is ashwin,49
olly can you call a taxi,54
how many continents are there,49
directions to virginia beach v. a.,42
is michael jackson really dead,49
do i need to wear a coat tomorrow when i leave for work,13
do i need to wear some warm clothes today,13
set calendar reminder for noon titled lunch meeting,50
play david bowie,45
wipe my calendar clean,30
whose song is this,57
do i have any new email,44
clean up my schedule,30
meeting this monday,50
would you play some music please,45
am i going to bring umbrella later,13
what does serendipitous mean,26
change the lights to green,1
make sure to remind me to pay my bills tomorrow morning,50
olly cancel alarm,52
what day and time is the acme meeting in san diego california,32
show me my reminders,32
turn up the volume on the music,14
can you tell me the phone number of me,17
find me a train ticket to newcastle,2
please turn on the music i want to hear my favorites songs,45
what's the latest,22
what meetings do i have this week,32
when is my next appointment and who do i contact to reschedule,32
definition of computer,26
can you give me directions from mcdonalds manhattan to my home,42
favorite music,45
what time is friday's doctor's appointment,32
remove yams,53
delete mike stein from contacts list,53
can you tweet for me to amazon services for not delivering my product on time,47
what's on my to do list,59
reduce the lights,31
make coffee at six am,56
does love equal sex,12
write complaint to walmart,47
play a mi song of rap and rock one after the other,45
at what time does the next redso game start,32
what are the latest tweets on my twitter account,27
i want to make a list and this should be automatically saved as a text file with the title list,21
get me a stock price of audi,4
can you turn on the wemo plug socket,24
display weather for the week,13
what's on the radio,36
what is the definition of a gala,26
tell me the meetings i have for the week,32
what clothes store would you recommend here,19
what is happening,6
three p. m. meeting tomorrow remind me four hours prior to that meeting,50
tweet to olx costumer service the next i didn't receive my order number one thousand one hundred and seventy six,47
create a repeating event on mondays at seven p. m.,50
i need a reminder for my five p. m. meeting,50
i like rock music,43
play kids songs,45
volume settings please,29
who is the singer of this song,57
open facebook messenger,27
please tell me what is the rate for yen to u. s. d.,10
remove all the events from my whole calendar,30
can you brief about the next scheduled events,32
what alarms do i have,23
please talk softer,35
change the light in the bathroom to yellow,1
put on the god of small things,20
bring back talking after,14
how old is david bowie,49
what time is the earliest train to glasgow,42
it's make me good lucking guy inside very very horkersd wo,53
turn the lights brighter,18
can you turn the lights up,18
tell me the time in india,0
birth date for movie star keanu reeves,49
set reminder for tomorrow at two p. m.,50
olly send mom an email to remind her to meet me for lunch today,33
hey please reply to last pawel's email,33
make an alert for my birthday,50
play the latest seahawks podcast,58
i'd like to listen to my favorite morning show in the car on the way to work please,36
where is the acme meeting being held on friday,32
which day this week do i have plans,32
cancel the event valentine's day from the calendar,30
can you turn off my bedroom lamp,40
play the next episode,58
please clear out my calendar completely,30
play spotify,36
what are listed,59
i had a good day today,12
is there any carnival taking place in our area,6
is jackie chan married,49
do i have any appointments tomorrow afternoon,32
kill the lights,40
where is the closest sweet frog,19
remove all the events from the calendar in this month,30
what do i have to do tomorrow,32
olly how old is tom cruise,49
remind me to take out the trash,50
could you change the volume,29
what did happen today,27
show me reviews of donald trump,12
stop seven am alarm,52
can you set a reminder for wednesday at one p. m. for my meeting,50
play foke,45
hey i just lost my wallet today,12
how long will it take me to go to the train station from here,42
dial the number,17
kickball is over i do not need the alarm for kickball on wednesday evening any longer,52
latest iphone,26
show me a video about new mobile launches this year,12
can you play the next podcast,58
cut red peppers from groceries,53
send an email to adele,33
i need to calendar a meeting with allison on monday at ten am,50
put the song in order of singer first arijit singh song then sukhwinder then sunidhi,45
at the company on twitter and complain to customer service in the tweet,47
i'm tired of pandora please turn on the radio,36
what is the current news today,22
here is something from today,12
make a contrast one,1
today i searched all over for my phone and couldn't find it olly,12
please hold for the next hour,46
listening song of arijit singh post it on my facebook account,47
remind me about my meeting at two p. m.,50
we are going to play poker together,51
define the word absolute,26
i like to be it,43
tell me a joke about a man,25
current local events,6
how many unopened emails do i have right now,44
find me a gas station close by,19
i want you to play my michael jackson favorite song,45
play soundcloud,36
how tall is mel gibson,49
give me some dim light,31
what are all the lists i have,59
get me a coffee,56
find remainder and delete,30
is that person living currently if yes where and how old is that person now,12
please repeat that music again of akon,28
where is the largest volcano in the world,49
what is the time for jimmy's party,32
play wuthering heights from where i left off,20
tag my tweet to provider,47
yo i need a coffee now,56
what is the time difference between eastern time and pacific time,38
what is on my rap playlist,59
what's the scenery like in morocco,49
what time is the train passing by,42
turn the robot vacuum cleaner on,34
darker lights please,31
play all my favorite songs,45
tell me what was today's news from news provider,22
check recently sent emails from mom,44
forget alarm,52
play that song next,45
things to do in my area,6
who is singing,57
set alarm for six am everyday,48
tweet for me the complaint about drainage work,47
what is the time in india right now,0
can you tell me my appointments for this week,32
please remind me the birthday of my uncle joe every may fourth,50
who delivers near here,16
will it be hot,13
is yellowstone park the largest park,49
setting up a food processing business in our home has advantages and disadvantages,9
play some boy band music,45
show me today all train times of next two hours at jodhpur to pali,42
prepare a cup of coffee,56
music led zeppelin houses of the holy,45
this is a tweet for comcast if i have my internet and phone service from you and it goes out how can i contact you,47
where is los angeles,49
let me know when my phone is due,50
i need to check today's email of jack,44
tell me my congressional representatives voting records on reproductive health issues,22
play podcast a,58
recommend a movie which is released last friday,55
any emails,44
what is the best recipe for a margarita,9
play country music,45
go to the end of the podcast,58
what does this word means,26
i have a department head meeting friday at nine am sharp,50
i want you to fast forward the audio then resume,20
check if any alarm is there after five am,23
just see for me the alarms that you have set today morning,23
do i have any new emails from dan,44
what are the synonyms of placid,26
any new emails,44
add birthday to every year,50
today is monday is it,0
is it going to rain,13
i am need my hat today,13
answer this mathematical question,39
are there any events happening in town,6
what is the weather forecast,13
send an email to sarah about brunch today,33
do you know if there is any rain today,13
bring up a complaint form,47
increase volume by one,14
this week weather will be sunny or not,13
what is trending in tech today,22
headlines from dhaka tribune,22
change volume settings in the negative,29
unmute the speaker now,14
what do i have on my schedule for tomorrow morning,32
nano technology,22
inform me about the most popular rom com movie playing now in theaters across new york,55
what time is my alarm set for tomorrow morning,23
play be warned by tech nine,45
olly i need coffee,56
olly tell me the most recent news from c. n. n.,22
what day of the month is next tuesday,0
save this channel on pandora please,43
can you tweet lif about their app crashing,47
hey i happened to miss one of my important meetings today,12
transform into a woman,12
reduce the brightness,31
tell me all the distance locations and times,42
please pull up the article in the new york times,22
will you set alarm clock one day before for all gym class on my calendar,48
can you send meeting invitation to mr. chen on next monday six hundred p. m.,50
what is the current temperature in miami,13
what is mary s.'s phone number,17
how many bases has nick swisher stolen in his career,49
find me the distance and direction by train to rccg in ikoyi lagos,42
beam me up scotty,12
twelveth july is bola's birthday and my calendar to be updated with this date,50
spread some lights,18
start the podcast application,58
does it fall a sunday on fifth december,0
make the lights blue in here,1
how long till the eventual heat death of the universe,49
do i have any new emails from sarah,44
define computer game,26
find me a description of morel mushrooms,26
do i have a soccer game this weekend,32
how is a typhoon defined,26
play audiobook of jacob,20
olly what are the headlines from the la times,22
is on eighth november there is monday or some other day,0
can you tell me how to cook chocolate chip cookies,9
what's the time in chicago,0
set an alarm at ten am tomorrow and label it as meeting,48
remind me at six thirty p. m.,48
help me set a list of,21
i need to start a list called by,21
i think dean obidallah is on the radio around now,36
the radio should play only on nine hundred and ninety nine f. m.,36
please play my top music playlist,45
i want some curry to go any recommendations olly,3
tell me to go to the grocery store after work,50
forward a complaint to mount's regarding internet speed issues,47
remove tomorrow's alarm,52
it is too bright in here dim the lights,31
siri what are the definitions of orange,26
about reality in world,12
how is weather on such and such day,13
add jane's birthday party at one hundred and twenty three main for two p. m. tomorrow on my calendar,50
is there anything important for today,32
give me the age of chuck norris,49
find me the top news of the day,22
i need to see if i got any new email,44
what is the gross domestic product of us,49
i want to play a game with you,51
i enjoy music,43
download the latest folk songs having rating of four star or above and play all without shuffle,45
play football match for myself now,51
give description of statue of liberty,26
write this message to the coworker group,33
define this,26
i need a uber to my current location,54
olly remove my wake up alarm,52
i'm bored play a game,12
what hour is it in new york now,0
dictate new email,33
what's the date today,0
turn on the fan socket,24
play some tunes for me,45
open company name and find forms,47
play a angry bird,51
how many keys are on a piano,49
play pandora,36
what's the email address of silvia,17
i've got dollars for the month how much can i spend every day this month,39
olly what's some upcoming events i might want to go to,6
what is new today,22
play hungry eyes,45
what day is payday,32
open song name,20
olly rotate the light colors,1
olly today was a tiring day,12
play back in black,45
take me to m. c. donalds,42
tell me about the sports stadium,26
who was appointed as deputy centimeter of uttar pradesh,49
make a taxi booking in uber,54
delete the grocery list,53
can you reserve me a seat on the train to hartford next friday morning,2
tell me the news about the current scenario in chennai,22
change mountain standard to pacific,38
put clean dog at the top of the cleaning list,21
create a new list for me,21
tell me more about the show,12
please unmute yourself,46
i love that song,43
countdown for time,50
delete birthday party,30
i want listen to kevin and bean,36
is the weather bad in new york right now,13
multiply one thousand by twelve,39
play new rihanna song,45
every other wednesday remind me to go grocery shopping,50
hey schedule a meeting with mr. ross for this friday noon,50
please put bread on the grocery list,21
which desert is hottest,49
where is located the biggest waterfall in the world,49
are there any emails unread by this person,44
olly search events and meetups for central park west,6
weather this week,13
convert two thousand three hundred and thirty from g. m. t. plus four hundred and thirty to g. m. t. two hundred,38
can you message back jean via email,33
i have a new contact newmail at gmail dot com compose mail,33
which day is friday the thirteenth this year,0
train tickets for two people from delhi to mumbai,2
solve this equation one plus one,39
play music from where you left off,45
olly is there a well rated pizza place between fourteenth and eighteenth streets,19
tell me the humidity level downtown today,13
at what time is my alarm set,23
can you turn down the lights by twenty percent,31
please reply to my most recent email,33
open this program,36
alexa what is on my calendar for today,50
play the sports station,36
show me more about the presidential election,22
please let me know what time seven p. m. is in p. s. t.,0
delete my whole calendar for today,30
the last friday of the month lands on what day,0
raise the volume to fifty,14
turn off the garage light,40
lights off bathroom,40
pull up my c. n. n. app and read it to me,22
do i have any missed call from patrick,17
remind me about my lunch date for monday,50
remove ice cream from grocery,53
could you skip ahead to the next episode,58
i need a train ticket to denver,42
ask joe and joanne if they can attend tomorrow's meeting at eleven am,50
resume the art of war,20
who are the last number of people i got emails from,44
is there any new jobs are relate to my qualifications,12
what will be the weather three days from now in five major cities near me,13
book me a single train ticket traveling to new york city leaving after nine am,2
any traffic issues today,11
olly how would you describe a ball,26
check the weather of city on list starts with a,13
update work out list with new items,21
how many times was richard nixon married,49
how much in the clock,0
play rohan sharma podcast for me,58
what is the date for the event scheduled on the twentieth of february,32
please increase volume,14
can you find the newest song from mgk,45
can you play music by pink floyd,45
i hate this song do not play it again,7
let's email sandy,33
set an alarm for eight am,48
tweet error report to samsung,47
check recent emails and tell me their senders and subjects,44
what's going on in the world,22
what's happening near me this week,6
set notification before this event,50
task meeting,50
open internet,49
olly where's the closest zoo to where i'm at,19
open media player and play top hits,36
i need to know about the height of mount everest,49
olly how do i make meatloaf,9
read my most recent emails,44
i need an email chain to my mother i'm planning a trip to see her ask her how the weather will be so i know how to pack,33
i want to finally read the mars trilogy,20
please remind this sunday to go to mass,50
i am gonna need an umbrella today after sunset,13
erase next calendar event,30
turn on channel b. b. c. radio one please,36
open fifa seventeen,51
is it going to rain in the next few days in tucson,13
can you make sure the kitchen light is off,40
add a meeting in office at eleven am,50
open pandora and play workout,36
disable the alarm at ten am,52
please clear jeff's birthday from the calendar,30
sum of five and two,39
lose the last item in the list,53
put out the lights,40
what is paris time,0
set reminder for tennis game with peter on sunday at four p. m.,50
change the time zone from irish time zone to moscow time zone,38
does this restaurant have takeaway,3
set reminder for tomorrow's meeting with james,50
play my favorite podcast,58
can you show me list of my appointment,32
set a new event,50
i want to add an event to my calendar,50
what is traffic like right now,11
why people like movies,12
just how bad is traffic on my commute,11
book a taxi for me,54
bedroom lights off now,40
what is the time difference between here and dakar,0
please destroy this list,53
i want to hear yesterday's podcast from my favorite channel,58
remind me about the office meeting tomorrow at seven,50
have i got any alarms set,23
please tell me a joke that i'll think is funny,25
what is the weather going to be like this week,13
what is happening in the world today,22
what is the entrepreneur saying about homelessness in the seattle times article,22
did i get any replies from jan,44
let me know about any alarms set today,23
is leonardo married,49
what is the the times headline,22
what is the current pacific time,0
what's a silly joke you know,25
show new emails to me,44
go to calendar and schedule event,50
call golden taxi to pick me up at seven p. m. today,54
can you please turn on n. p. r. where i am,36
where a good restaurant,19
check emails from someone,44
tell me the date and the time,0
punjabi,45
what do you think of trump,12
i need to hear the volume of the current music,14
what's the temperature,13
popular culture news,22
i want to hear radio head please,45
is the celebrity single or married,49
look up what this word means,26
what is the current forecast for minneapolis,13
if there any alarm is set then let me know,23
please turn off the lamp,40
play the last played playlist,45
what are the events conducted in new york,6
go to the next episode,58
unread emails,44
start from my last session of joes book,20
temperature,13
show me upcoming events in the quad cities,6
take me to the next episode if her story,58
what's his number,17
what is the next event in my calendar,32
change lights from red to blue,1
check emails from mgccc,44
put summer lovin in third position in my queue,45
i would like it to be able to tell if something is starting to burn and turn off the oven stove or microwave,12
change lights to red,1
send a notification to friend,50
what is a funny joke about car,25
set the color of light to red,1
take birthday party off of calendar for may,30
make the speaker volume on maximum,14
make me a coffee please,56
look for different recipes,9
please set event on monday,50
i got loads of sleep today,12
is the twenty second a tuesday,0
does the restaurant have delivery,3
this song is too good,43
remind me to go to bed before one am everyday,50
can i get the food to go,3
you're too loud,35
lights out,41
define alarm,26
start making a coffee,56
please confirm the weather for the thirteenth of this month,13
remove deposit check from to do list,53
add running to my calendar for thursday,50
would you like to play a game with me olly,51
go to the last episode,58
what are the events coming up soon,50
play kiss from a rose,45
only christian rock from one thousand nine hundred and ninety upwards is to be selected and played,45
what is the capital of new hampshire,49
what is happening in my area,6
what's the meaning of life,12
set a calendar event to repeat yearly on this date,50
tell me the best exchange rate,10
what is a good vegan egg substitute olly,9
how many oscars has won meryl streep,49
turn the sound off,46
go to the event day and delete,30
tell me all the pending reminders,32
show me the demographic growth rate of switzerland in the last ten years,49
create an email to my brother asking him what time he will be over for dinner,33
add pencil to school supplies list,21
what are we doing today with ourselves,12
the twenty second is what day,0
tell me this week's weather forecast,13
beach,49
tell me form whom i got the last email,44
